,Unit Id,Grand total,Black total,Hispanic total,Grand total women,Year,UNITID,HRTOTLT,DVHRBKT,DVHRHST,HRBKAAT,HRTOTLW,HRHISPT
10058,126678.0,174.0,5.0,8.0,105.0,2002,,,,,,,
10117,126748.0,49.0,0.0,0.0,29.0,2002,,,,,,,
10163,126818.0,1102.0,11.0,26.0,762.0,2002,,,,,,,
10234,126863.0,26.0,2.0,3.0,14.0,2002,,,,,,,
10277,126924.0,5.0,0.0,0.0,1.0,2002,,,,,,,
10299,126942.0,87.0,10.0,9.0,33.0,2002,,,,,,,
10343,126979.0,14.0,0.0,2.0,12.0,2002,,,,,,,
10380,127060.0,449.0,9.0,14.0,284.0,2002,,,,,,,
10451,127200.0,167.0,2.0,10.0,66.0,2002,,,,,,,
10502,127617.0,34.0,0.0,1.0,14.0,2002,,,,,,,
10546,127714.0,11.0,1.0,0.0,10.0,2002,,,,,,,
10579,127778.0,32.0,0.0,2.0,16.0,2002,,,,,,,
10624,127909.0,67.0,1.0,2.0,34.0,2002,,,,,,,
10669,128188.0,15.0,0.0,0.0,9.0,2002,,,,,,,
10695,128391.0,98.0,0.0,1.0,61.0,2002,,,,,,,
10748,130934.0,181.0,82.0,0.0,118.0,2002,,,,,,,
10810,130943.0,1073.0,44.0,18.0,701.0,2002,,,,,,,
10879,131308.0,33.0,0.0,0.0,19.0,2002,,,,,,,
10916,131450.0,229.0,17.0,3.0,96.0,2002,,,,,,,
10977,131469.0,1075.0,42.0,30.0,711.0,2002,,,,,,,
11049,131876.0,52.0,6.0,5.0,13.0,2002,,,,,,,
11097,132602.0,136.0,69.0,1.0,71.0,2002,,,,,,,
11152,132657.0,66.0,2.0,3.0,38.0,2002,,,,,,,
11203,132693.0,212.0,10.0,3.0,98.0,2002,,,,,,,
11258,132709.0,338.0,40.0,26.0,184.0,2002,,,,,,,
11318,132842.0,19.0,1.0,12.0,9.0,2002,,,,,,,
11356,132851.0,101.0,2.0,3.0,54.0,2002,,,,,,,
11405,132903.0,1050.0,46.0,47.0,658.0,2002,,,,,,,
11473,133021.0,54.0,3.0,0.0,23.0,2002,,,,,,,
11517,133386.0,227.0,17.0,7.0,121.0,2002,,,,,,,
11568,133465.0,17.0,1.0,0.0,4.0,2002,,,,,,,
11600,133492.0,93.0,3.0,4.0,62.0,2002,,,,,,,
11649,133508.0,91.0,5.0,1.0,43.0,2002,,,,,,,
11695,133526.0,41.0,28.0,0.0,23.0,2002,,,,,,,
11734,133553.0,183.0,6.0,1.0,154.0,2002,,,,,,,
11790,133669.0,782.0,36.0,39.0,478.0,2002,,,,,,,
11858,133702.0,359.0,49.0,9.0,176.0,2002,,,,,,,
11915,133951.0,714.0,46.0,103.0,481.0,2002,,,,,,,
11980,133960.0,31.0,0.0,2.0,20.0,2002,,,,,,,
12020,134079.0,107.0,2.0,3.0,69.0,2002,,,,,,,
12074,134097.0,1308.0,58.0,40.0,878.0,2002,,,,,,,
12147,134130.0,3527.0,118.0,124.0,2508.0,2002,,,,,,,
12220,134343.0,118.0,8.0,2.0,57.0,2002,,,,,,,
12275,134495.0,234.0,15.0,21.0,121.0,2002,,,,,,,
12328,134608.0,153.0,13.0,6.0,72.0,2002,,,,,,,
12380,134680.0,20.0,0.0,2.0,8.0,2002,,,,,,,
12419,135063.0,6.0,0.0,0.0,4.0,2002,,,,,,,
12453,135160.0,53.0,0.0,4.0,26.0,2002,,,,,,,
12502,135188.0,59.0,2.0,2.0,23.0,2002,,,,,,,
12547,135391.0,111.0,5.0,2.0,49.0,2002,,,,,,,
12597,135717.0,664.0,102.0,180.0,339.0,2002,,,,,,,
12654,136145.0,32.0,1.0,3.0,13.0,2002,,,,,,,
12698,136172.0,384.0,24.0,15.0,237.0,2002,,,,,,,
12760,136233.0,77.0,4.0,2.0,33.0,2002,,,,,,,
12811,136358.0,217.0,24.0,15.0,103.0,2002,,,,,,,
12868,136400.0,92.0,5.0,3.0,37.0,2002,,,,,,,
12921,136473.0,232.0,17.0,3.0,107.0,2002,,,,,,,
12971,136516.0,97.0,5.0,7.0,54.0,2002,,,,,,,
