,Unit Id,Grand total enrolled,Black total enrolled,Hispanic total enrolled,Total women enrolled,Year
49557,123509,2612,62,785,1264,2017
49558,123527,4374,497,2980,2352,2017
49559,123554,2614,108,731,1550,2017
49560,123563,2914,316,946,1652,2017
49561,123572,7887,188,2614,4977,2017
49562,123633,53,1,2,37,2017
49563,123642,176,10,65,152,2017
49564,123651,1524,83,626,993,2017
49565,123679,577,12,63,408,2017
49566,123800,6993,311,4940,3693,2017
49567,123952,259,1,39,104,2017
49568,123961,18631,858,2670,9641,2017
49569,124113,1317,31,740,833,2017
49570,124292,369,2,62,194,2017
49571,124487,28,4,4,14,2017
49572,124681,658,58,584,456,2017
49573,124706,617,68,314,484,2017
49574,124937,671,28,427,465,2017
49575,125028,4214,93,2690,2228,2017
49576,125091,4267,433,2446,2430,2017
49577,125170,1175,145,331,562,2017
49578,125231,453,120,9,349,2017
49579,125310,25,1,20,20,2017
49580,125462,833,81,581,456,2017
49581,125471,2749,776,1196,1483,2017
49582,125499,2149,53,706,1044,2017
49583,125532,891,95,287,808,2017
49584,125727,1294,26,224,786,2017
49585,125763,1640,80,826,927,2017
49586,125897,923,28,287,458,2017
49587,126076,143,0,0,0,2017
49588,126119,1535,40,564,875,2017
49589,126164,62,0,11,61,2017
49590,126182,1514,102,574,741,2017
49591,126207,2127,34,802,1133,2017
49592,126289,1885,56,328,963,2017
49593,126359,321,6,38,298,2017
49594,126401,86,23,12,70,2017
49595,126562,8671,425,1876,4638,2017
49596,126580,8171,310,1483,4181,2017
49597,126605,319,11,36,10,2017
49598,126614,26977,440,3175,11972,2017
49599,126669,1840,66,218,1140,2017
49600,126678,2091,53,180,1120,2017
49601,126687,676,147,209,575,2017
49602,126702,405,33,89,193,2017
49603,126711,1753,10,375,847,2017
49604,126748,480,12,87,283,2017
49605,126775,4584,53,375,1355,2017
49606,126784,156,3,29,2,2017
49607,126818,22154,543,2972,11684,2017
49608,126827,14445,3864,358,8849,2017
49609,126863,1623,248,468,804,2017
49610,126872,139,20,62,117,2017
49611,126915,102,4,24,66,2017
49612,126942,2441,237,740,1340,2017
49613,126951,916,35,266,57,2017
49614,127060,5494,106,601,2943,2017
49615,127158,1368,101,474,330,2017
49616,127185,2921,35,335,1521,2017
49617,127200,5432,89,1019,2831,2017
49618,127219,58,0,21,55,2017
49619,127316,114,21,23,93,2017
49620,127389,433,45,111,215,2017
49621,127556,7145,184,1341,3736,2017
49622,127565,12759,717,3464,6650,2017
49623,127617,303,4,87,204,2017
49624,127653,368,4,40,239,2017
49625,127680,54,12,12,23,2017
49626,127714,76,5,8,36,2017
49627,127732,896,39,127,416,2017
49628,127741,8328,395,1752,5384,2017
49629,127778,615,52,224,292,2017
49630,127787,103,8,41,93,2017
49631,127820,4885,356,929,2641,2017
49632,127884,1986,64,616,1100,2017
49633,127909,2340,39,428,971,2017
49634,127918,2378,68,583,1534,2017
49635,127945,675,32,74,470,2017
49636,127954,16,0,7,16,2017
49637,128106,3292,220,1142,1672,2017
49638,128151,943,146,452,417,2017
49639,128179,635,124,94,111,2017
49640,128188,842,30,322,469,2017
49641,128258,723,24,339,362,2017
49642,128328,4276,247,458,1113,2017
49643,128337,63,2,26,62,2017
49644,128391,1832,59,202,757,2017
49645,128498,1012,354,195,671,2017
49646,128540,90,6,15,82,2017
49647,128577,676,98,89,290,2017
49648,128586,25,0,0,0,2017
49649,128674,116,39,30,85,2017
49650,128683,295,57,40,234,2017
49651,128744,2300,809,510,1425,2017
49652,128771,7605,930,1088,3621,2017
49653,128780,290,58,36,200,2017
49654,128896,75,9,19,48,2017
49655,128902,1766,67,137,1112,2017
49656,129002,138,30,27,57,2017
49657,129020,18555,1096,1845,9419,2017
49658,129154,401,70,96,306,2017
49659,129181,579,82,118,40,2017
49660,129215,4210,380,467,2393,2017
49661,129242,3879,88,291,2338,2017
49662,129349,144,23,17,131,2017
49663,129367,690,265,218,446,2017
49664,129482,405,96,189,368,2017
49665,129525,4460,673,582,2257,2017
49666,129534,64,0,7,36,2017
49667,129543,1729,490,615,929,2017
